cram*;-1
cramp;-1
cramped;-1
cramps;-1
crank;-1
cranked;-1
cranki*;-1
cranks;-1
cranky;-1
crap;-3
crap;-1
crapp*;-1
craps;-1
crash;-2
crass*;-1
crave*;-1
crawl*;-1
craz*;-1
crazy;-2
create;1
created;1
creating;1
creation;1
creations;1
creativ*;1
creative;2
credibility;1
credible;1
credit;1
creditable;1
creditably;1
credited;1
crediting;1
credits;1
credul*;-1
creep*;-1
crie*;-1
cried;-2
cries;-2
crime;-3
crime;-1
crimes;-1
criminal;-3
criminal*;-1
criminals;-3
cring*;-1
crippl*;-1
crisi*;-1
crisis;-3
critic;-2
critic*;-1
criticism;-2
criticize;-2
criticized;-2
criticizing;-2
critics;-2
critiqu*;-1
croak*;-1
crook*;-1
cross the line;-1
crossfire*;-1
crossly;-1
crotchety*;-1
crowded;-1
crowding;-1
crown*;1
crucifie*;-1
crucify*;-1
crude*;-1
cruel;-3
cruel*;-1
cruelty;-3
crumb*;-1
crummy;-1
crush;-1
crush*;-1
crushed;-2
crushing;-1
cry;-1
cry;-1
crybab*;-1
crying;-2
crying;-1
crypt;-1
cryptic;-1
crypts;-1
crystal;1
cuddl*;1
culminat*;1
culpab*;-1
culprit*;-1
cult;-1
cultish;-1
cultivat*;1
cults;-1
cumbersom*;-1
cunt*;-1
cupid*;1
cure;1
cured;1
curer;1
cures;1
curiosity;1
curious;1
curious*;1
curse;-1
cursed;-1
curser;-1
curses;-1
cursing;-1
cursory;-1
curst;-1
curtain*;-1
cut;-1
cut to pieces*;-1
cut up*;-1
cute;2
cute*;1
cutie*;1
cuts;-1
cutt;-1
cutter*;-1
cutthroat*;-1
cutting;-1
cutting edge;1
cutting*;-1
cynic;-2
cynic*;-1
cynical;-2
cynicism;-2
daft*;-1
damag*;-1
damage;-3
damages;-3
damm*;-1
damn;-4
damn*;-1
damned;-4
danc*;1
dander*;-1
danger;-2
danger*;-1
daring;2
daring*;1
dark*;-1
darkest;-2
darkness;-1
darlin*;1
darn;-1
darned;-1
dash;-1
dashed;-1
dashes;-1
daunt;-1
daunted*;-1
daunting*;-1
dauntless*;1
daunts*;-1
dawdl*;-1
daze*;-1
dazzl*;1
dead;-3
dead;-1
deadbeat*;-1
deaden*;-1
deadlier;-1
deadliest;-1
deadlock*;-1
deadly;-1
deadweight;-1
deaf*;-1
deafening;-1
dear;2
dear;1
dearer*;1
dearest*;1
deari*;1
dearly;3
dearly*;1
dearness*;1
dears*;1
dearth*;-1
death;-2
death*;-1
debatab*;-1
debilitat*;-1
debt;-2
debt*;-1
decadenc*;-1
decay*;-1
decease*;-1
decei*;-1
deceit;-3
deceitful;-3
deceives;-3
deceiving;-3
decency*;1
decent;1
decently;1
decepti*;-1
deception;-3
decisiv*;1
decorat*;1
decrie*;-1
decry*;-1
dedicat*;1
dedicated;2
defam*;-1
default*;-1
defeat*;-1
defect*;-1
defects;-3
defenceless*;-1
defend;1
defended;1
defender;1
defending;1
defends;1
defenseless*;-1
defensible;1
defensive*;-1
defian*;-1
defiant;-1
deficien*;-1
deficit;-2
deficit*;-1
defil*;-1
defy*;-1
degenerat*;-1
degrad*;-1
degrade;-2
degrades;-2
dehumanizing;-2
deject*;-1
delay*;-1
deleterious*;-1
delicac*;1
delicate*;1
delicious*;1
delight;3
delight*;1
delighted;3
delightful*;1
delights;3
delinquen*;-1
deliriu*;-1
deluded*;-1
delug*;-1
delusion*;-1
demand;-1
demanding;-1
demands;-1
demean;-1
demeaned;-1
demeaning*;-1
demeans;-1
dement*;-1
demis*;-1
demolish*;-1
demon;-1
demoniac;-1
demonic;-1
demons;-1
demonstration;-1
demorali*;-1
denial*;-1
denie*;-1
denied;-2
denigra*;-1
denounc*;-1
dent;-1
dented;-1
denting;-1
dents;-1
deny;-2
deny*;-1
denying;-2
depend;-1
dependab*;1
dependen*;-1
deplet*;-1
deplor*;-1
deport*;-1
depose;-1
deposed;-1
deposes;-1
deposing;-1
deprav*;-1
deprecat*;-1
depreciat*;-1
depres*;-1
depressed;-2
depressing;-2
depriv*;-1
derail*;-1
derailed;-2
derails;-2
derid*;-1
derision;-1
derisiv*;-1
derogator*;-1
descry*;1
deserted*;-1
deserter;-1
desertion*;-1
deserv*;1
desir*;1
desire;1
desired;2
desolat*;-1
despair;-3
despair*;-1
desperat*;-1
desperate;-3
desperately;-3
despicab*;-1
despis*;-1
despiteful*;-1
despondant*;-1
desponden*;-1
despondent;-3
destitut*;-1
destroy;-3
destroy*;-1
destroyed;-3
destroys;-3
destruct*;-1
destruction;-3
destructive;-3
desultory*;-1
detached;-1
detached*;-1
detained;-2
detention;-2
deter;-1
deteriorat*;-1
determent;-1
determin*;1
determined;2
deterred;-1
deterrence;-1
deterrent*;-1
deterring;-1
deters;-1
detersiv*;1
detest*;-1
detract*;-1
detrimental*;-1
devalu*;-1
devastat*;-1
devastated;-2
devastating;-2
devil*;-1
devious*;-1
devoid;-1
devot*;1
devoted;3
devour*;-1
dexter*;1
diabolic*;-1
diamond;1
dick;-4
dick;-1
dickhead;-4
dicks;-1
